BIST,BIRA
TP_BIST_CAA,TP_BIRA_CAA
TP_BIST_CDM,TP_BIRA_CDM
TP_BIST_CLC,TP_BIRA_CLC
TP_BIST_CLM,TP_BIRA_CLM
TP_BIST_PEX,TP_BIRA_PEX
TP_BIST_PRC,TP_BIRA_PRC
TP_BIST_PRE,TP_BIRA_PRE
TP_BIST_PRM,TP_BIRA_PRM
TP_BIST_PSC,TP_BIRA_PSC
TP_BIST_PSM,TP_BIRA_PSM
TP_BIST_QAC,TP_BIRA_QAC
TP_BIST_QLM,TP_BIRA_QLM
TP_BIST_RDM,TP_BIRA_RDM
TP_BIST_SBC,TP_BIRA_SBC
TP_BIST_SCHA,TP_BIRA_SCHA
TP_BIST_SCHB,TP_BIRA_SCHB
TP_BIST_WAC,TP_BIRA_WAC
TP_BIST_ETHCPUBTM,TP_BIRA_ETHCPUBTM
TP_BIST_ETHCPUTOP,TP_BIRA_ETHCPUTOP
TP_BIST_HOSTBTM,TP_BIRA_HOSTBTM
Q3_BIST_DPRHOE,Q3_BIRA_DPRHOE
Q3_BIST_DPRHOI,Q3_BIRA_DPRHOI
Q3_BIST_DPRINPPPS,Q3_BIRA_DPRINPPPS
Q3_BIST_DPRINPSLC,Q3_BIRA_DPRINPSLC
Q3_BIST_EBUF900,Q3_BIRA_EBUF900
Q3_BIST_ETH400GMAC,Q3_BIRA_ETH400GMAC
Q3_BIST_ETH400GPCS,Q3_BIRA_ETH400GPCS
Q3_BIST_LFLTR,Q3_BIRA_LFLTR
Q3_BIST_MIRROR,Q3_BIRA_MIRROR
Q3_BIST_P2S,Q3_BIRA_P2S
Q3_BIST_PARDEGLUE,Q3_BIRA_PARDEGLUE
Q3_BIST_S2P,Q3_BIRA_S2P
#Q0_BIST_EPB_010_20190918_ONLYTCAMV4,Q0_BIST_EPB_010_20190918_ONLYTCAMV4
Q0_BIST_MAU0_.*GLUE,Q0_BIRA_MAU0_.*GLUE
Q0_BIST_MAU1_.*GLUE,Q0_BIRA_MAU1_.*GLUE
Q0_BIST_MAU2_.*GLUE,Q0_BIRA_MAU2_.*GLUE
Q0_BIST_MAU3_.*GLUE,Q0_BIRA_MAU3_.*GLUE
Q0_BIST_MAU4_.*GLUE,Q0_BIRA_MAU4_.*GLUE
Q0_BIST_MAU5_.*GLUE,Q0_BIRA_MAU5_.*GLUE
Q0_BIST_MAU6_.*GLUE,Q0_BIRA_MAU6_.*GLUE
Q0_BIST_MAU7_.*GLUE,Q0_BIRA_MAU7_.*GLUE
Q0_BIST_MAU8_.*GLUE,Q0_BIRA_MAU8_.*GLUE
Q0_BIST_MAU9_.*GLUE,Q0_BIRA_MAU9_.*GLUE
Q0_BIST_MAU10_.*GLUE,Q0_BIRA_MAU10_.*GLUE
Q0_BIST_MAU11_.*GLUE,Q0_BIRA_MAU11_.*GLUE
Q0_BIST_MAU12_.*GLUE,Q0_BIRA_MAU12_.*GLUE
Q0_BIST_MAU13_.*GLUE,Q0_BIRA_MAU13_.*GLUE
Q0_BIST_MAU14_.*GLUE,Q0_BIRA_MAU14_.*GLUE
Q0_BIST_MAU15_.*GLUE,Q0_BIRA_MAU15_.*GLUE
Q0_BIST_MAU16_.*GLUE,Q0_BIRA_MAU16_.*GLUE
Q0_BIST_MAU17_.*GLUE,Q0_BIRA_MAU17_.*GLUE
Q0_BIST_MAU18_.*GLUE,Q0_BIRA_MAU18_.*GLUE
Q0_BIST_MAU19_.*GLUE,Q0_BIRA_MAU19_.*GLUE
Q0_BIST_MAU20_.*GLUE,Q0_BIRA_MAU20_.*GLUE
Q1_BIST_MAU0_.*GLUE,Q1_BIRA_MAU0_.*GLUE
Q1_BIST_MAU1_.*GLUE,Q1_BIRA_MAU1_.*GLUE
Q1_BIST_MAU2_.*GLUE,Q1_BIRA_MAU2_.*GLUE
Q1_BIST_MAU3_.*GLUE,Q1_BIRA_MAU3_.*GLUE
Q1_BIST_MAU4_.*GLUE,Q1_BIRA_MAU4_.*GLUE
Q1_BIST_MAU5_.*GLUE,Q1_BIRA_MAU5_.*GLUE
Q1_BIST_MAU6_.*GLUE,Q1_BIRA_MAU6_.*GLUE
Q1_BIST_MAU7_.*GLUE,Q1_BIRA_MAU7_.*GLUE
Q1_BIST_MAU8_.*GLUE,Q1_BIRA_MAU8_.*GLUE
Q1_BIST_MAU9_.*GLUE,Q1_BIRA_MAU9_.*GLUE
Q1_BIST_MAU10_.*GLUE,Q1_BIRA_MAU10_.*GLUE
Q1_BIST_MAU11_.*GLUE,Q1_BIRA_MAU11_.*GLUE
Q1_BIST_MAU12_.*GLUE,Q1_BIRA_MAU12_.*GLUE
Q1_BIST_MAU13_.*GLUE,Q1_BIRA_MAU13_.*GLUE
Q1_BIST_MAU14_.*GLUE,Q1_BIRA_MAU14_.*GLUE
Q1_BIST_MAU15_.*GLUE,Q1_BIRA_MAU15_.*GLUE
Q1_BIST_MAU16_.*GLUE,Q1_BIRA_MAU16_.*GLUE
Q1_BIST_MAU17_.*GLUE,Q1_BIRA_MAU17_.*GLUE
Q1_BIST_MAU18_.*GLUE,Q1_BIRA_MAU18_.*GLUE
Q1_BIST_MAU19_.*GLUE,Q1_BIRA_MAU19_.*GLUE
Q1_BIST_MAU20_.*GLUE,Q1_BIRA_MAU20_.*GLUE
Q2_BIST_MAU0_.*GLUE,Q2_BIRA_MAU0_.*GLUE
Q2_BIST_MAU1_.*GLUE,Q2_BIRA_MAU1_.*GLUE
Q2_BIST_MAU2_.*GLUE,Q2_BIRA_MAU2_.*GLUE
Q2_BIST_MAU3_.*GLUE,Q2_BIRA_MAU3_.*GLUE
Q2_BIST_MAU4_.*GLUE,Q2_BIRA_MAU4_.*GLUE
Q2_BIST_MAU5_.*GLUE,Q2_BIRA_MAU5_.*GLUE
Q2_BIST_MAU6_.*GLUE,Q2_BIRA_MAU6_.*GLUE
Q2_BIST_MAU7_.*GLUE,Q2_BIRA_MAU7_.*GLUE
Q2_BIST_MAU8_.*GLUE,Q2_BIRA_MAU8_.*GLUE
Q2_BIST_MAU9_.*GLUE,Q2_BIRA_MAU9_.*GLUE
Q2_BIST_MAU10_.*GLUE,Q2_BIRA_MAU10_.*GLUE
Q2_BIST_MAU11_.*GLUE,Q2_BIRA_MAU11_.*GLUE
Q2_BIST_MAU12_.*GLUE,Q2_BIRA_MAU12_.*GLUE
Q2_BIST_MAU13_.*GLUE,Q2_BIRA_MAU13_.*GLUE
Q2_BIST_MAU14_.*GLUE,Q2_BIRA_MAU14_.*GLUE
Q2_BIST_MAU15_.*GLUE,Q2_BIRA_MAU15_.*GLUE
Q2_BIST_MAU16_.*GLUE,Q2_BIRA_MAU16_.*GLUE
Q2_BIST_MAU17_.*GLUE,Q2_BIRA_MAU17_.*GLUE
Q2_BIST_MAU18_.*GLUE,Q2_BIRA_MAU18_.*GLUE
Q2_BIST_MAU19_.*GLUE,Q2_BIRA_MAU19_.*GLUE
Q2_BIST_MAU20_.*GLUE,Q2_BIRA_MAU20_.*GLUE
Q3_BIST_MAU0_.*GLUE,Q3_BIRA_MAU0_.*GLUE
Q3_BIST_MAU1_.*GLUE,Q3_BIRA_MAU1_.*GLUE
Q3_BIST_MAU2_.*GLUE,Q3_BIRA_MAU2_.*GLUE
Q3_BIST_MAU3_.*GLUE,Q3_BIRA_MAU3_.*GLUE
Q3_BIST_MAU4_.*GLUE,Q3_BIRA_MAU4_.*GLUE
Q3_BIST_MAU5_.*GLUE,Q3_BIRA_MAU5_.*GLUE
Q3_BIST_MAU6_.*GLUE,Q3_BIRA_MAU6_.*GLUE
Q3_BIST_MAU7_.*GLUE,Q3_BIRA_MAU7_.*GLUE
Q3_BIST_MAU8_.*GLUE,Q3_BIRA_MAU8_.*GLUE
Q3_BIST_MAU9_.*GLUE,Q3_BIRA_MAU9_.*GLUE
